date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,8250000,339410,1642642,1483427,8250000,825400,2402192,2226375,7410000,970100,2609002,2458334,6740000,1240000,2394334,2230770
2020-12-09,8250000,339410,1647504,1488829,8250000,825400,2411525,2236875,7410000,970100,2558835,2402593,6740000,1240000,2367667,2200000
2020-12-10,8250000,339410,1650764,1492451,8250000,825400,2417952,2243125,7410000,970100,2546502,2388889,6740000,1240000,2340667,2168847
2020-12-11,8250000,339410,1661708,1504612,8250000,940770,2443892,2268000,7410000,970100,2547169,2389630,6740000,1240000,2388667,2224231
2020-12-12,8250000,339410,1659431,1502081,8250000,940770,2447003,2271500,7410000,970100,2548502,2391112,6740000,1240000,2385334,2220385
2020-12-13,8250000,339410,1661208,1504056,8250000,940770,2452788,2274875,7410000,970100,2550335,2393149,6740000,1240000,2367334,2199616
2020-12-14,8250000,339410,1661208,1504056,8250000,940770,2452788,2274875,7410000,970100,2550335,2393149,6740000,1240000,2367334,2199616
2020-12-15,8250000,339410,1661208,1504056,8250000,940770,2452788,2274875,7410000,970100,2550335,2393149,6740000,1240000,2367334,2199616
2020-12-16,8250000,339410,1664383,1507583,8250000,940770,2458566,2278625,7410000,970100,2542002,2383889,6740000,1240000,2348000,2177308
2020-12-17,8250000,339410,1674383,1518694,8250000,940770,2449677,2268625,7410000,970100,2576169,2421667,6740000,1240000,2411334,2250385
2020-12-18,8250000,339410,1681385,1526475,8250000,940770,2449343,2268250,7410000,1240000,2589000,2427593,6740000,1240000,2404667,2242693
2020-12-19,8250000,339410,1684717,1530177,8250000,940770,2450566,2268625,7410000,1240000,2577000,2416852,6740000,1240000,2336000,2165770
2020-12-20,8250000,339410,1707527,1554251,8250000,940770,2480677,2302500,7410000,1240000,2620500,2465186,6740000,1240000,2348000,2179616
2020-12-21,8250000,339410,1707527,1554251,8250000,940770,2480677,2302500,7410000,1240000,2620500,2465186,6740000,1240000,2348000,2179616
2020-12-22,8250000,339410,1707527,1554251,8250000,940770,2480677,2302500,7410000,1240000,2620500,2465186,6740000,1240000,2348000,2179616
2020-12-23,8250000,339410,1720027,1568140,8250000,940770,2485788,2308250,7410000,1240000,2621834,2466667,6740000,1240000,2349000,2180770
2020-12-24,8250000,339410,1745851,1591956,8250000,940770,2527566,2351000,7410000,1240000,2663000,2512408,6740000,1240000,2431334,2246154
