date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,207830000,9130000,59489566,53690250,207830000,9130000,59489566,53690250,207830000,9130000,59489566,53690250,207830000,11680000,73112667,67641924
2020-12-09,207830000,9130000,60744256,55270000,207830000,9130000,60744256,55270000,207830000,9130000,60744256,55270000,207830000,11680000,76640667,71591154
2020-12-10,207830000,9130000,62071042,56916667,207830000,9130000,62071042,56916667,207830000,9130000,62071042,56916667,207830000,11680000,79996000,75462693
2020-12-11,207830000,9130000,62422449,57436977,207830000,9130000,62422449,57436977,207830000,9130000,62422449,57436977,207830000,11680000,80849000,76446924
2020-12-12,207830000,9130000,62323800,57438182,207830000,9130000,62323800,57438182,207830000,9130000,62323800,57438182,207830000,11680000,81734000,77468077
2020-12-13,207830000,9130000,62132353,57329778,207830000,9130000,62132353,57329778,207830000,9130000,62132353,57329778,207830000,11680000,82802000,78700385
2020-12-14,207830000,9130000,62132353,57329778,207830000,9130000,62132353,57329778,207830000,9130000,62132353,57329778,207830000,11680000,82802000,78700385
2020-12-15,207830000,9130000,62132353,57329778,207830000,9130000,62132353,57329778,207830000,9130000,62132353,57329778,207830000,11680000,82802000,78700385
2020-12-16,207830000,9130000,61794231,57051957,207830000,9130000,61794231,57051957,207830000,9130000,61794231,57051957,207830000,11680000,83629334,79655000
2020-12-17,207830000,9130000,61552265,56880000,207830000,9130000,61552265,56880000,207830000,9130000,61552265,56880000,207830000,15780000,84872334,80705770
2020-12-18,207830000,9130000,61222223,56606042,207830000,9130000,61222223,56606042,207830000,9130000,61222223,56606042,207830000,15780000,85608334,80923077
2020-12-19,207830000,9130000,61082728,56543674,207830000,9130000,61082728,56543674,207830000,9130000,61082728,56543674,207830000,38080000,86867334,81300770
2020-12-20,207830000,9130000,61255893,56828400,207830000,9130000,61255893,56828400,207830000,9130000,61255893,56828400,207830000,38080000,87608000,82155385
2020-12-21,207830000,9130000,61255893,56828400,207830000,9130000,61255893,56828400,207830000,9130000,61255893,56828400,207830000,38080000,87608000,82155385
2020-12-22,207830000,9130000,61255893,56828400,207830000,9130000,61255893,56828400,207830000,9130000,61255893,56828400,207830000,38080000,87608000,82155385
2020-12-23,207830000,9130000,61519650,57210000,207830000,9130000,61519650,57210000,207830000,9130000,61519650,57210000,207830000,38080000,87151667,81628847
2020-12-24,207830000,9130000,61595000,57376924,207830000,9130000,61595000,57376924,207830000,9130000,61595000,57376924,207830000,38080000,87344667,81851539
2020-12-25,207830000,9130000,61541865,57397359,207830000,9130000,61541865,57397359,207830000,9130000,61541865,57397359,207830000,43730000,88024000,82386539
2020-12-26,207830000,9130000,60954667,56821667,207830000,9130000,60954667,56821667,207830000,9130000,60954667,56821667,207830000,26310000,87333334,82291154
2020-12-27,207830000,9130000,60954667,56821667,207830000,9130000,60954667,56821667,207830000,9130000,60954667,56821667,207830000,26310000,87333334,82291154
2020-12-28,207830000,9130000,60954667,56821667,207830000,9130000,60954667,56821667,207830000,9130000,60954667,56821667,207830000,26310000,87333334,82291154
